Movie Title,Movie Rating,Genre,Box Office,Run Time(min),Stars
60. Avengers: Endgame (2019),"8.4 Rate this
78 Metascore","Action, Adventure, Drama","Votes: 755,906 | Gross: $858.37M",181 min,"Directors: Anthony Russo, Joe Russo | Stars: Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth"
61. Avengers: Infinity War (2018),"8.4 Rate this
68 Metascore","Action, Adventure, Sci-Fi","Votes: 797,117 | Gross: $678.82M",149 min,"Directors: Anthony Russo, Joe Russo | Stars: Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans"
62. Coco (I) (2017),"8.4 Rate this
81 Metascore","Animation, Adventure, Family","Votes: 352,829 | Gross: $209.73M",105 min,"Directors: Lee Unkrich, Adrian Molina | Stars: Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach"
63. Django Unchained (2012),"8.4 Rate this
81 Metascore","Drama, Western","Votes: 1,318,455 | Gross: $162.81M",165 min,"Director: Quentin Tarantino | Stars: Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington"
64. The Dark Knight Rises (2012),"8.4 Rate this
78 Metascore","Action, Adventure","Votes: 1,481,306 | Gross: $448.14M",164 min,"Director: Christopher Nolan | Stars: Christian Bale, Tom Hardy, Anne Hathaway, Gary Oldman"
65. 3 Idiots (2009),"8.4 Rate this
67 Metascore","Comedy, Drama","Votes: 332,460 | Gross: $6.53M",170 min,"Director: Rajkumar Hirani | Stars: Aamir Khan, Madhavan, Mona Singh, Sharman Joshi"
66. Like Stars on Earth (2007),8.4 Rate this,"Drama, Family","Votes: 161,997 | Gross: $1.22M",165 min,"Directors: Aamir Khan, Amole Gupte | Stars: Darsheel Safary, Aamir Khan, Tisca Chopra, Vipin Sharma"
67. WALL·E (2008),"8.4 Rate this
95 Metascore","Animation, Adventure, Family","Votes: 975,099 | Gross: $223.81M",98 min,"Director: Andrew Stanton | Stars: Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard"
68. The Lives of Others (2006),"8.4 Rate this
89 Metascore","Drama, Mystery, Thriller","Votes: 349,785 | Gross: $11.29M",137 min,"Director: Florian Henckel von Donnersmarck | Stars: Ulrich Mühe, Martina Gedeck, Sebastian Koch, Ulrich Tukur"
69. Oldboy (2003),"8.4 Rate this
77 Metascore","Action, Drama, Mystery","Votes: 501,304 | Gross: $0.71M",120 min,"Director: Chan-wook Park | Stars: Min-sik Choi, Ji-Tae Yoo, Hye-jeong Kang, Dae-han Ji"
70. Memento (2000),"8.4 Rate this
80 Metascore","Mystery, Thriller","Votes: 1,099,471 | Gross: $25.54M",113 min,"Director: Christopher Nolan | Stars: Guy Pearce, Carrie-Anne Moss, Joe Pantoliano, Mark Boone Junior"
71. Princess Mononoke (1997),"8.4 Rate this
76 Metascore","Animation, Adventure, Fantasy","Votes: 331,252 | Gross: $2.38M",134 min,"Director: Hayao Miyazaki | Stars: Yôji Matsuda, Yuriko Ishida, Yûko Tanaka, Billy Crudup"
72. Once Upon a Time in America (1984),8.4 Rate this,"Crime, Drama","Votes: 302,498 | Gross: $5.32M",229 min,"Director: Sergio Leone | Stars: Robert De Niro, James Woods, Elizabeth McGovern, Treat Williams"
73. Raiders of the Lost Ark (1981),"8.4 Rate this
85 Metascore","Action, Adventure","Votes: 865,810 | Gross: $248.16M",115 min,"Director: Steven Spielberg | Stars: Harrison Ford, Karen Allen, Paul Freeman, John Rhys-Davies"
74. The Shining (1980),"8.4 Rate this
66 Metascore","Drama, Horror","Votes: 869,948 | Gross: $44.02M",146 min,"Director: Stanley Kubrick | Stars: Jack Nicholson, Shelley Duvall, Danny Lloyd, Scatman Crothers"
75. Apocalypse Now (1979),"8.4 Rate this
94 Metascore","Drama, Mystery, War","Votes: 591,507 | Gross: $83.47M",147 min,"Director: Francis Ford Coppola | Stars: Martin Sheen, Marlon Brando, Robert Duvall, Frederic Forrest"
76. Alien (1979),"8.4 Rate this
89 Metascore","Horror, Sci-Fi","Votes: 769,217 | Gross: $78.90M",117 min,"Director: Ridley Scott | Stars: Sigourney Weaver, Tom Skerritt, John Hurt, Veronica Cartwright"
77. High and Low (1963),8.4 Rate this,"Crime, Drama, Mystery","Votes: 31,286",143 min,"Director: Akira Kurosawa | Stars: Toshirô Mifune, Yutaka Sada, Tatsuya Nakadai, Kyôko Kagawa"
78. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"8.4 Rate this
97 Metascore",Comedy,"Votes: 441,279 | Gross: $0.28M",95 min,"Director: Stanley Kubrick | Stars: Peter Sellers, George C. Scott, Sterling Hayden, Keenan Wynn"
79. Witness for the Prosecution (1957),8.4 Rate this,"Crime, Drama, Mystery","Votes: 104,632 | Gross: $8.18M",116 min,"Director: Billy Wilder | Stars: Tyrone Power, Marlene Dietrich, Charles Laughton, Elsa Lanchester"
80. Paths of Glory (1957),"8.4 Rate this
90 Metascore","Drama, War","Votes: 172,778",88 min,"Director: Stanley Kubrick | Stars: Kirk Douglas, Ralph Meeker, Adolphe Menjou, George Macready"
81. Rear Window (1954),"8.4 Rate this
100 Metascore","Mystery, Thriller","Votes: 432,604 | Gross: $36.76M",112 min,"Director: Alfred Hitchcock | Stars: James Stewart, Grace Kelly, Wendell Corey, Thelma Ritter"
82. Sunset Blvd. (1950),8.4 Rate this,"Drama, Film-Noir","Votes: 195,915",110 min,"Director: Billy Wilder | Stars: William Holden, Gloria Swanson, Erich von Stroheim, Nancy Olson"
83. The Great Dictator (1940),8.4 Rate this,"Comedy, Drama, War","Votes: 197,506 | Gross: $0.29M",125 min,"Director: Charles Chaplin | Stars: Charles Chaplin, Paulette Goddard, Jack Oakie, Reginald Gardiner"
84. 1917 (2019),"8.3 Rate this
78 Metascore","Drama, War","Votes: 363,849 | Gross: $159.23M",119 min,"Director: Sam Mendes | Stars: Dean-Charles Chapman, George MacKay, Daniel Mays, Colin Firth"
85. Uri: The Surgical Strike (2019),8.3 Rate this,"Action, Drama, War","Votes: 41,358 | Gross: $4.19M",138 min,"Director: Aditya Dhar | Stars: Vicky Kaushal, Paresh Rawal, Mohit Raina, Yami Gautam"
86. Andhadhun (2018),8.3 Rate this,"Crime, Thriller","Votes: 65,883 | Gross: $1.37M",139 min,"Director: Sriram Raghavan | Stars: Ayushmann Khurrana, Tabu, Radhika Apte, Anil Dhawan"
87. Drishyam (2013),8.3 Rate this,"Crime, Drama, Thriller","Votes: 29,788",160 min,"Director: Jeethu Joseph | Stars: Mohanlal, Meena, Asha Sharath, Ansiba"
88. The Hunt (2012),"8.3 Rate this
77 Metascore",Drama,"Votes: 269,767 | Gross: $0.69M",115 min,"Director: Thomas Vinterberg | Stars: Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp, Lasse Fogelstrøm"
89. A Separation (2011),"8.3 Rate this
95 Metascore",Drama,"Votes: 214,245 | Gross: $7.10M",123 min,"Director: Asghar Farhadi | Stars: Payman Maadi, Leila Hatami, Sareh Bayat, Shahab Hosseini"
